id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
157,Kuri transporto priemonė pažeidžia taisykles?,Pirmo automobilio vairuotojas.,Antro automobilio vairuotojas.,Abu automobiliai stovi teisingai.,Abu automobiliai stovi neteisingai.,2,2,"Sustojus ar stovint prie ištisinės linijos turi likti ne mažiau kaip 3 m iki jos. 2 automobilis palikęs tik 2,5 m, todėl pažeidžia taisykles. 1 automobilis palikęs 2 m iki važiuojamosios dalies krašto, todėl taisyklių nepažeidžia.",157.jpg
158,Kokia trajektorija važiuoja priekaba autobusui sukant posūkyje?,Pasislenka į posūkio išorę.,Važiuoja ta pačia trajektorija kaip ir autobusas.,Pasislenka į posūkio centrą.,Pasislenka į posūkio centrą važiuojant tik dideliu greičiu.,3,2,"Priekabos ratai, atliekant posūkį, visada rieda mažesniu spinduliu negu autobuso ratai. Tuo galima įsitikinti pagal autobuso ir priekabos ratų paliktus riedėjimo pėdsakus, atliekant posūkį ant važiuojamosios dalies, kai ji padengta sniegu arba yra šlapia.",158.jpg
159,Kaip turėtumėte pasielgti šioje situacijoje?,Sumažinti greitį ir leisti autobuso vairuotojui užbaigti manevrą.,Autobuso vairuotojui draudžiama įvažiuoti į priešpriešinio eismo juostą.,Apvažiuoti autobusą važiuojant šaligatviu.,,1,1,"KET 107. Kai dėl savo gabaritų ar kitų priežasčių transporto priemonė negali pasukti (apsisukti) iš kraštinės padėties, sukti leidžiama ir ne nuo važiuojamosios dalies, skirtos važiuoti ta kryptimi, atitinkamo krašto, jeigu tai nesukliudys kitoms transporto priemonėms ir nesukels pavojaus kitiems eismo dalyviams.
KET 125. Draudžiama transporto priemonėms (išskyrus dviračius, elektrines mikrojudumo priemones) apvažiuoti ta pačia kryptimi važiuojančias transporto priemones iš dešinės (išskyrus leistiną sukančių į kairę, apsisukančių transporto priemonių apvažiavimą iš dešinės) važiuojant kelkraščiu, lėtėjimo ar greitėjimo juosta. Ta pačia kryptimi lėčiau važiuojančias transporto priemones rekomenduojama apvažiuoti iš kairės.",159.jpg
160,Kuris kelio ženklas draudžia sukti į kairę (jei vairuojate nemaršrutinį transportą)?,Nr. 1.,Nr. 2.,Nr. 3.,Nr. 4.,2,1,"KET 1 pr. 527 Kelio ženklas „Apsisukimo vieta"". Apsisukimo ne sankryžoje vieta.
KET 1 pr. 404 Kelio ženklas „Važiuoti tiesiai arba į dešinę"". Leidžiama važiuoti tik rodyklių kryptimis. Ženklas galioja toje važiuojamųjų dalių sankirtoje, prieš kurią jis pastatytas. Šio ženklo reikalavimai netaikomi maršrutiniam transportui.
KET 1 pr. 324 Kelio ženklas „Apsisukti draudžiama"". Negalioja maršrutiniam transportui ir nedraudžia sukti į kairę.
KET 1 pr. 146 Kelio ženklas „Posūkio kryptis į dešinę"". Važiavimo kryptis ribotai matomo, mažo spindulio kelio vingyje, kelio susiaurėjimo arba kelio remonto, statybos darbų vietoje.",160.jpg
161,Ką nurodo šis kelio ženklas?,Papildomą eismo juostą arba lėtėjimo juostos pradžią.,Eismo kryptis sankryžoje.,Dviejų eismo juostų kelią.,,1,1,"KET 1 pr. 513. Kelio ženklas „Eismo juostos pradžia iš dešinės"". Papildoma eismo juosta arba lėtėjimo juostos pradžia. Iš kelio išsukančios transporto priemonės turi persirikiuoti į lėtėjimo juostą, į kalną važiuojančios transporto priemonės, kurios negali važiuoti greičiau už važiuojančias paskui jas, turi persirikiuoti į papildomą eismo juostą",161.jpg
162,Gyvenvietėje vairuotojas nepažeis šio ženklo reikalavimo važiuodamas:,Iki artimiausios sankryžos 50 km/h greičiu.,Už artimiausios sankryžos 50 km/h greičiu.,Iki artimiausios sankryžos ir už jos ne didesniu kaip 40 km/h greičiu.,,3,1,"Nes šis kelio ženklas galioja ne iki pirmos sankryžos, o visoje teritorijoje už šio kelio ženklo tol, kol nebus draudimą panaikinančių kelio ženklų.",162.jpg
163,Kaip vadinasi nurodytas kelio ženklas?,Sankryža su pagrindiniu keliu.,Duoti kelią.,Sankryža su šalutiniu keliu.,,2,1,"KET 1 pr. 203. Duoti kelią (Vairuotojas privalo duoti kelią transporto priemonėms, važiuojančioms kertamuoju ar prisijungiančiuoju keliu, o esant papildomai lentelei Nr. 843 „Pagrindinio kelio kryptis“, – važiuojančioms pagrindiniu keliu).",163.jpg
164,"Kuris automobilis sankryžą pravažiuos pirmas (prie žalio automobilio stovinčio šviesoforo yra papildoma lentelė su žalia rodykle į dešinę (nešviečianti), šviečia raudonas šviesoforo signalas)?",Žalias automobilis.,Mėlynas automobilis.,,,2,2,"Paaiškinimas:
Važiavimo pirmumą turi mėlyno automobilio vairuotojas, nes jis važiuoja pagal leidžiamą šviesoforo papildomos sekcijos signalą. O žalio automobilio vairuotojas turi duoti kelią mėlynam automobiliui, nes važiuoja pagal papildomą lentelę su žalia rodykle ir neturi pirmumo.",164.jpg
165,"Priešais jus važiuojanti transporto priemonė rodo dešinįjį posūkio signalą artėdama prie susikirtimo su šalutiniu keliu, tačiau nesuka. Kaip elgsitės?",Pradėsite lenkti.,Apvažiuosite iš kairės.,Apvažiuosite iš dešinės.,Pristabdysite ir toliau važiuosite paskui automobilį.,4,1,"KET 4 p. Eismo dalyvių elgesys grindžiamas savitarpio pagarba ir atsargumu.
KET 9 p. Eismo dalyviai privalo laikytis visų būtinų atsargumo priemonių, nekelti pavojaus kitų eismo dalyvių, kitų asmenų ar jų turto saugumui ir aplinkai, nesudaryti kliūčių jų eismui, taip pat siekdami išvengti nuostolingų padarinių arba juos sumažinti privalo imtis visų būtinų priemonių, išskyrus tuos atvejus, kai dėl to kiltų pavojus jų pačių, kitų žmonių gyvybei ar sveikatai arba tokios priemonės padarytų dar daugiau žalos palyginti su ta, kurios būtų galima išvengti.",165.jpg
166,Važiuodami automobiliu dvejais ratais užvažiavote ant kelkraščio. Ko reikia imtis?,Nestabdant staigiai sukti vairą ir grįžti į važiuojamąją dalį.,"Švelniai mažinti greitį ir lėtai sukti vairą, grąžinant automobilį į važiuojamąją dalį.",Sustoti ir vėl pradėti važiuoti.,,2,1,"Tokiu atveju automobilį atgal į važiuojamąją dalį reikia grąžinti ramiai, nestabdant ir lėtai sukant vairą. Staigus vairo pasukimas gali būti pavojingas, nes dėl padidėjusios šoninės jėgos automobilis gali pradėti slysti ar net apvirsti. Taip pat nereikėtų staigiai stabdyti, nes ratai esantys ant žvyro, su keliu sukimba silpniau negu ratai važiuojantys asfaltu. Dėl šio sukibimo skirtumo automobilis gali tapti nestabilus ir nukrypti nuo važiavimo krypties.",166.jpg
167,"Kaip elgsitės, jeigu kelio ženklai prieštarauja kelių horizontaliojo ženklinimo linijoms?",Vadovausiuos kelio ženklais.,Vadovausiuos kelių horizontaliojo ženklinimo linijomis.,,,2,2,"KET 8. Eismą keliuose Lietuvos Respublikoje gali apriboti tik kelio ženklai, nurodyti Taisyklių 1 priede, prie kelio ženklų priskirtini kintamos informacijos kelio ženklai, kurių pavyzdžiai nurodyti Taisyklių 2 priede, kelių ženklinimas, nurodytas Taisyklių 3 priede, šviesoforai ir reguliuotojo signalai, nurodyti Taisyklėse ir kituose Lietuvos Respublikoje galiojančiuose teisės aktuose, susijusiuose su eismo reguliavimu. Jeigu kelio ženklo ir kelio ženklinimo reikalavimai skiriasi, reikia vadovautis kelio ženklu. Kai kelyje įrengti kintamos informacijos kelio ženklai, vadovaujamasi kintamos informacijos kelio ženklais. Reguliuotojo nurodymai turi pirmenybę šviesoforo signalų, kelio ženklų ir kelio ženklinimo, taip pat Taisyklių reikalavimų atžvilgiu. Eismo dalyviai privalo vadovautis jiems skirtais kelio ženklais.",167.jpg
168,"Jūs važiuojate didžiausiu leistinu greičiu. Iš paskos greitai artėja transporto priemonė, kurios vairuotojas signalizuoja perjunginėdamas žibintų šviesas, kaip jūs elgsitės?",Važiuosite tuo pačiu greičiu ir neleisite lenkti.,"Spustelėsite stabdžių paminą, kad įsijungtų stabdžių signalas.","Padidinsite greitį, kad atstumas tarp automobilių būtų didesnis.",Netrukdysite artėjančiai transporto priemonei lenkti.,4,2,"Nesvarbu, kad kitas automobilis lenkdamas viršys greitį lenkdamas ir taip pažeis taisykles. Jūs turite nesukelti pavojaus ir praleisti lenkiantį automobilį.",168.jpg
169,"Kokie bus jūsų veiksmai šioje situacijoje? Priešais važiuojantis automobilis yra saugiu atstumu, suka į lėtėjimo juostą ir jau yra ant tos juostos linijos. Jūs važiuojate 70 km/val. greičiu. Leistinas greitis 70 km/val.",Stabdysite.,Padidinsite greitį.,Atleisite akceleratoriaus pedalą.,Nekeisite greičio.,4,2,"Jei priešais važiuojantis automobilis yra saugiu atstumu ir jau yra ant lėtėjimo juostos linijos, jūsų veiksmai turėtų būti šie:
Toliau stebėkite situaciją: Patikrinkite, ar priešais esantis automobilis tikrai įvažiuoja į lėtėjimo juostą ir tęsia savo manevrą saugiai.
Laikykite savo greitį: Kadangi važiuojate leistinu 70 km/val. greičiu, o priešais esantis automobilis jau palieka pagrindinę eismo juostą, nėra būtinybės keisti savo greičio.",169.jpg
170,"Kaip elgsitės, jei per kelią einantys pėstieji nekreipia dėmesio į tai kas vyksta aplinkui?",Stabdysite.,Atleisite greičio pedalą.,Važiuosite nekeisdamas greičio.,,1,1,"Sąvokų paaiškinimai:
Stabdyti, tai kai spaudi stabdį, mašina greitai lėtėja ir sustoja iki numatomos kliūties.
Atleisti greičio pedalą, tai nuimi koją nuo gazo, mašina pamažu pati sulėtėja, bet nesustoja iki numatomos kliūties, o vis tiek juda.
Važiuoti nekeisdamas greičio – spaudi gazą tiek pat, mašina rieda tuo pačiu greičiu.",170.jpg
171,"Vairuojate lengvąjį automobilį su priekaba, ką privalote įvertinti važiuodami nuokalne?",Priekaba padės greičiau sustabdyti automobilį.,Stabdymo kelias sutrumpės.,Stabdymo kelias pailgės.,Stabdymo kelias nesikeis.,3,1,"Stabdymo kelias pailgėja, kadangi priekabos svoris stumia automobilį į priekį, nes važiuojam nuo kalno. Važiuodami į įkalnę, stabdymo kelias sutrumpės, nes priekabos svoris trauks automobilį atgal.",171.jpg
172,"Kaip elgsitės, jei prie kelio yra pagyvenusių žmonių ar kitų pažeidžiamų eismo dalyvių?","Įvertindami pavojų reaguosite - stabdysite, ar sklandžiai pasitrauksite į kitą kelio dalį.",Mirksėsite šviesomis.,Važiuosite nekeisdamas greičio.,,1,1,"KET 9. Eismo dalyviai privalo laikytis visų būtinų atsargumo priemonių, nekelti pavojaus kitų eismo dalyvių, kitų asmenų ar jų turto saugumui ir aplinkai, nesudaryti kliūčių jų eismui, taip pat siekdami išvengti nuostolingų padarinių arba juos sumažinti privalo imtis visų būtinų priemonių, išskyrus tuos atvejus, kai dėl to kiltų pavojus jų pačių, kitų žmonių gyvybei ar sveikatai arba tokios priemonės padarytų dar daugiau žalos palyginti su ta, kurios būtų galima išvengti.
KET 128. Jeigu atsirado kliūtis ar iškilo grėsmė eismo saugumui, vairuotojas (jeigu jis gali tai pastebėti) privalo sulėtinti greitį, net visiškai sustabdyti transporto priemonę arba apvažiuoti kliūtį nesukeldamas pavojaus kitiems eismo dalyviams.",172.jpg
173,"Palikti dyzelinį automobilį su įjungta pavara stovėti nuokalnėje pavojinga, nes:",Gali būti sugadintas pavarų perjungimo mechanizmas.,Gali savaime užsivesti senos modifikacijos automobilio variklis.,Nepavojinga.,,2,3,Senos modifikacijos dyzeliniai varikliai riedant nuo kalno su įjungta pavara gali savaime užsivesti.,173.jpg
174,Kokius veiksmus reikia atlikti norint pastatyti automobilį ant šlaito su automatine pavarų dėže?,Įjungti stovėjimo stabdį ir tuomet perjungti svirtį į P poziciją.,Perjungti svirtį į P poziciją ir įjungti stovėjimo stabdį.,Stovėjimo stabdį įjungti nebūtina.,,1,3,"Kai automobilių stovėjimo vieta yra ant šlaito, siekiant išvengti automobilio riedėjimo, reikia įjungti stovėjimo stabdį ir tik tada nustatyti automatinės pavarų dėžės stovėjimo režimą (P).",174.jpg
175,Ar vasaros sezono metu leidžiama važiuoti su žieminėmis padangomis?,"Leidžiama, tačiau jos turi būti be dyglių.",Draudžiama.,,,1,2,"Kadangi KET nuo balandžio 10 d. iki spalio 31 d. draudžiama eksploatuoti transporto priemones tik su dygliuotomis padangomis, tai automobilius su nedygliuotomis žieminėmis padangomis eksploatuoti galima.",175.jpg
176,"Jūs sustojote įkalnėje dėl eismo spūsties kelyje, kaip geriausiai išlaikyti automobilį vietoje?",Įjungus pavarą ir išjungus variklį.,Stovėjimo stabdžiu.,Įjungus lėtinančiąją pavarą ir laikant buksuojančią sankabą.,Darbiniu stabdžiu.,2,2,"Kai sustojate įkalnėje dėl eismo spūsties, automobilis turi būti patikimai išlaikomas vietoje, kad nenuriedėtų atgal. Pagal Motorinių transporto priemonių valdymo įgūdžių ir gebėjimų vertinimo kriterijų aprašo 3.7.6 p., stovėjimo stabdis naudojamas, kai:
transporto priemonė sustabdyta ir vairuotojas neketina pajudėti iš karto (pvz., laukia spūstyje);
būtina užtikrinti, kad ji nejudėtų stovėdama įkalnėje.
Darbinį stabdį laikyti nuspaustą ilgą laiką nepatogu ir gali sukelti pavojų (pavyzdžiui, kojos paslydimas gali leisti automobiliui nuriedėti). Todėl saugiausia ir teisingiausia – įjungti stovėjimo stabdį.",176.jpg
177,Ar leidžiama tamsiu paros metu važiuoti įjungus tik gabaritines šviesas?,"Taip, jei važiuoju gyvenvietėje.","Taip, jei kelias matomas ne mažesniu kaip 50 m atstumu.",Draudžiama.,,3,1,"KET 94. Tamsiuoju paros metu arba esant blogam matomumui motorinių transporto priemonių, traktorių, savaeigių mašinų vairuotojai privalo važiuoti keliais su įjungtomis artimosiomis arba tolimosiomis žibintų šviesomis.",177.jpg
178,Dėl ko gali pradėti rasoti langai salone?,"Drėgmės, atsiradusios po automobilio plovimo.",Per didelio aušinimo skysčio lygio.,Per didelio žmonių kiekio salone.,Neteisingai pasirinkto šildymo-ventiliavimo režimo.,4,2,"Langai salone dažniausiai pradeda rasoti tada, kai salone susikaupia drėgnas oras ir jis kondensuojasi ant šaltesnio stiklo paviršiaus. Tai dažniausiai nutinka dėl neteisingai pasirinkto šildymo–ventiliavimo režimo, kai oras salone nepakankamai vėdinamas arba neįjungtas stiklo apipūtimas. Tinkamai parinkus šildymo ir ventiliacijos režimą (pvz., nukreipus oro srautą į langus, įjungus ventiliatorių ar kondicionierių), drėgmė pašalinama ir langai nerasoja.
Kiti atsakymai neteisingi, nes:
Drėgmė po automobilio plovimo gali padidinti drėgmę salone, tačiau pati savaime langų rasojimo nesukelia, jei ventiliacija veikia tinkamai. Jeigu langai rasoja (pvz., po plovimo), vadinasi neteisingai pasirinktas šildymo-ventiliavimo režimas.
Per didelis aušinimo skysčio lygis neturi įtakos langų rasojimui salone.
Didelis žmonių kiekis salone gali padidinti drėgmę, tačiau langai pradeda rasoti tik tada, kai netinkamai veikia arba parinkta ventiliacija.",178.jpg
179,Transporto priemone važiuoti draudžiama:,Jeigu pasibaigęs valstybinės techninės apžiūros galiojimo laikas.,Jeigu valstybinio numerio ženklas sulankstytas (bet įskaitomas).,Jeigu įlenktos automobilio durelės.,Jeigu neveikia garsinis signalas.,1,1,"Pastebėjus, kad neveikia garsinis signalas,  leidžiama važiuoti tik iki stovėjimo ar remonto vietos. Tačiau yra draudžiama eksploatuoti  automobilį (t.y. nuolat naudoti), kuris neatitinka techninių reikalavimų (pvz. neveikia garso signalas).
Draudžiama važiuoti KET 234 punkte nurodytais atvejais.",179.jpg
180,Ar Lietuvoje leidžiama naudoti nenumatytus šviesos prietaisų stiklus ir lempas?,"Leidžiama, jei jos neviršija leistino galingumo.",Draudžiama.,"Leidžiama, jei jos tinkamai sureguliuotos.","Leidžiama, jei jos pritaikytos tos šalies, kur naudojama transporto priemonė.",2,1,Techniniai motorinių transporto priemonių ir jų priekabų reikalavimai. Draudžiama naudoti nenumatytus arba draudžiamus naudoti apšvietimo ir šviesos signalizacijos prietaisus.,180.jpg
181,Ar leidžiama rūko žibintus naudoti vietoje artimųjų šviesų žibintų?,Leidžiama.,Draudžiama.,"Leidžiama, jeigu nedega priekinis kairysis artimųjų šviesų žibintas.",,3,1,"98. Rūko žibintus leidžiama naudoti tik esant blogam matomumui, o priekinius – ir sugedus priekiniam kairiajam artimųjų šviesų žibintui.",181.jpg
182,Sankryžos pravažiavimo tvarka:,"Traktorius, motociklas, automobilis.","Automobilis ir motociklas vienu metu, traktorius.","Automobilis, traktorius, motociklas.","Traktorius ir automobilis vienu metu, motociklas.",4,3,"Šioje situacijoje pirmi vienu metu numatytomis kryptimis gali važiuoti traktorius ir automobilis, nes pastarasis vienintelis neturi kliūties iš dešinės, o traktoriaus ir automobilio trajektorijos nesikerta. Motociklo vairuotojas gali važiuoti tik antras, praleidęs iš dešinės artėjantį traktorių.",182.jpg
183,Kur draudžiama apsisukti?,Likus iki sankryžos 15 m atstumui.,Pėsčiųjų perėjose.,"Keliuose, kuriuose yra daugiau kaip keturios eismo juostos.",Užmiesčio keliuose.,2,2,"KET 116. Apsisukti draudžiama:
116.1. pėsčiųjų perėjose;
116.2. geležinkelių pervažose;
116.3. tuneliuose;
116.4. ant tiltų, estakadų, viadukų ir po jais;
116.5. vietose, kur kelio matomumas bent viena kryptimi mažesnis kaip 100 metrų;
116.6. keliuose su skiriamąja juosta, išskyrus tam įrengtas ir kelio ženklais arba kelio ženklais bei horizontaliuoju ženklinimu pažymėtas apsisukimo vietas.",183.jpg
184,Kokia tvarka transporto priemonės važiuos per šią sankryžą?,"Baltas, juodas, raudonas, mėlynas automobilis.","Baltas, mėlynas, raudonas, juodas automobilis.","Baltas, raudonas, juodas, mėlynas automobilis.","Juodas, mėlynas, baltas, raudonas automobilis.",3,3,"Baltas automobilis yra pagrindiniame kelyje ir važiuoja tiesiai, todėl jis važiuoja pirmas. Pravažiavus baltam automobiliui, nebelieka kliūties raudonam, jis važiuoja antras. Juodas važiuoja trečias. Paskutinis sankryžą pravažiuos mėlynas automobilis, nes jis privalo duoti kelią juodam automobiliui, važiuojančiam lygiareikšmiu keliu priešinga kryptimi į dešinę.",184.jpg
185,Ar leidžiamas toks manevras?,Taip.,Ne.,,,1,2,"KET 182. Jeigu eismo juosta, skirta maršrutiniam transportui važiuoti ta pačia kryptimi, yra dešiniajame važiuojamosios dalies krašte ir nėra atskirta ištisine horizontaliojo ženklinimo linija, prieš posūkį į dešinę sukantys vairuotojai privalo, o apvažiuojantys sustojusią į kairę sukti transporto priemonę vairuotojai gali persirikiuoti į šią eismo juostą.",185.jpg
186,Kaip privaloma pastatyti savo transporto priemonę greta skiriamuoju ženklu „Asmuo su negalia“ pažymėtų transporto priemonių?,Kad nekliudytų išlipti ir įlipti asmeniui su negalia.,Kuo arčiau.,,,1,1,"KET 152. Greta skiriamuoju ženklu „Asmuo su negalia“ pažymėtų transporto priemonių savąją transporto priemonę vairuotojas privalo pastatyti taip, kad netrukdytų įlipti (išlipti) asmeniui su negalia.",186.jpg
187,"Ar leidžiama per geležinkelio pervažą gabenti specialiai transportuoti neparengtas žemės ūkio, kelių, statybos ir kitas mašinas?",Ne.,"Ne, jeigu tai galėtų pakenkti pervažos įrangai.","Taip, jeigu yra gautas geležinkelio savininko leidimas.",,2,1,"173. Eismo dalyviui draudžiama:
173.1. judėti per geležinkelį tam neskirtose vietose;
173.2. apvažiuoti kitas transporto priemones, kurios sustojo prieš geležinkelio pervažą praleisti bėginės transporto priemonės;
173.3. įvažiuoti ar įeiti į geležinkelio pervažą, kai užtvaras nuleistas arba pradeda leistis, savavališkai pakelti užtvarą arba jį apvažiuoti (apeiti);
173.4. įvažiuoti į geležinkelio pervažą, jeigu už jos yra kliūtis, kuri verstų vairuotoją sustoti geležinkelio pervažoje;
173.5. gabenti per geležinkelio pervažą specialiai transportuoti neparengtas žemės ūkio, kelių, statybos ir kitas mašinas, jeigu tai galėtų pakenkti geležinkelio pervažos įrangai;
173.6. važiuoti per geležinkelio pervažą asmens su negalia vežimėliu be lydinčio asmens;
173.7. geležinkelio pervažoje delsti ar stoviniuoti, taip pat užtrukti ilgiau, nei reikia ją pereiti ar pervažiuoti.",187.jpg
188,Ar leidžiama žalio automobilio vairuotojui taip manevruoti?,Taip.,Ne.,"Taip, jeigu yra įsitikinęs, kad manevras saugus.",,2,2,"KET 110. Jeigu eismas labai intensyvus ir visos eismo juostos užimtos, keisti eismo juostą leidžiama tik prireikus pasukti, apsisukti ar sustoti.",188.jpg
189,Kokia eilės tvarka automobiliai pravažiuos sankryžą?,"Žalias, geltonas, raudonas, mėlynas.","Raudonas, žalias, geltonas, mėlynas.","Raudonas kartu su geltonu ir žaliu, mėlynas.",,3,3,"Lygiareikšmių kelių sankryžoje žalias, raudonas ir geltonas automobiliai suka į dešinę, jų važiavimo trajektorijos su niekuo nesikerta, todėl jie gali važiuoti visi vienu metu. Mėlynas automobilis suka į kairę, todėl jis privalo praleisti priešinga kryptimi važiuojantį bei sukantį į dešinę geltoną automobilį. Mėlynas automobilis per sankryžą važiuoja paskutinis.",189.jpg
190,Kuris vairuotojas turi pravažiavimo pirmumą?,Mėlyno automobilio.,Raudono automobilio.,,,1,2,"Raudonas automobilis važiuoja nuo kalno (tai rodo ženklas ""Stati nuokalnė"", o ne ""Stati įkalnė""), jis turi duoti kelią važiuojančiam į kalną mėlynam automobiliui.",190.jpg
191,Ar leidžiama žalio automobilio vairuotojui šioje situacijoje važiuoti tiesiai (toliau žiedinėje sankryžoje)?,Leidžiama.,Draudžiama.,,,2,2,"KET - 1 pr. - 507. Nurodo juostų skaičių ir kryptis, kuriomis leidžiama važiuoti kiekviena juosta. Kai leidžiama sukti į kairę, iš kairės kraštinės juostos leidžiama ir apsisukti.",191.jpg
192,"Kai transporto priemonių važiavimo trajektorijos kertasi kiemo teritorijoje, duoti kelią privalo:","Vairuotojas, prie kurio transporto priemonė artėja iš kairės.","Vairuotojas, prie kurio transporto priemonė artėja iš dešinės.",,,2,1,"KET 115. Kai transporto priemonių važiavimo trajektorijos kertasi, o važiavimo tvarka Taisyklėse neaptarta, kelią privalo duoti vairuotojas, kuriam transporto priemonė artėja iš dešinės.",192.jpg
193,Ką privalote pirmiausia daryti prieš pradėdami lenkti?,"Įsitikinti, ar kelias priekyje yra laisvas.",Perjungti žemesnę pavarą.,Padidinti greitį.,Sumažinti greitį.,1,1,"KET 136 p. Vairuotojams rekomenduojama vengti nebūtinų lenkimo manevrų. Prieš pradėdamas lenkti, vairuotojas privalo imtis papildomų atsargumo priemonių ir įsitikinti, kad:
136.1. nė vienas iš važiuojančių paskui jį vairuotojų nepradėjo jo lenkti;
136.2. transporto priemonės, kurią ketinama lenkti, vairuotojas nerodo kairiojo posūkio signalo;
136.3. lenkimui būtina eismo juostos dalis yra laisva ir nebus kliudoma priešpriešiais atvažiuojančioms transporto priemonėms arba važiuojamąja dalimi judantiems pėstiesiems;
136.4. lenkiant bus užtikrintas saugus atstumas nuo lenkiamos transporto priemonės;
136.5. baigdamas lenkti, jis galės grįžti į savo eismo juostą, nesukliudydamas lenkiamai transporto priemonei.",193.jpg
194,"Kaip elgsitės, jeigu posūkyje pradeda slysti į šoną jūsų automobilio galinė ašis, kai varomi automobilio galiniai ratai?",Staigiai stabdydami suksite vairą į slydimo pusę.,Atleisite akseleratoriaus paminą ir pasuksite vairą į priešingą slydimui pusę.,Staigiai stabdydami suksite vairą į priešingą slydimui pusę.,Atleisite akseleratoriaus paminą ir pasuksite vairą į slydimo pusę.,4,3,"Kaip šiuo atveju reikia elgtis:
Atleisti akseleratoriaus paminą, kad galiniai ratai nustotų slysti.
Staigiai pasukti vairą į slydimo pusę (t. y. jei galinis galas slysta į dešinę, vairą pasukti dešinėn).
Kai ratai atgaus sukibimą, grąžinti vairą į reikiamą važiavimo trajektoriją.
Tokiu būdu pirmu ritmu atstatomas sukibimas, o antru – stabilizuojamas važiavimas.",194.jpg
195,"Kaip turi pasielgti vairuotojas pamatęs kelyje duobę, kurios išvengti neįmanoma, o automobilio greitis didelis?",Prieš įvažiuojant į duobę nustoti stabdyti.,Prieš įvažiuojant į duobę padidinti greitį.,,,1,1,"Išvydus duobę, reikėtų mažinti greitį ir bandyti ją apvažiuoti. Jeigu tai nepavyksta ir smūgio į duobę išvengti nepavyks, prieš pat ją reikėtų atleisti stabdį ir ištiesinti vairo padėtį – taip bus sumažinta tikimybė pažeisti tiek padangą, tiek važiuoklės dalis.",195.jpg
196,"Ar reikia sustoti ir praleisti pėsčiąjį, įžengusį į nereguliuojamą pėsčiųjų perėją (priešpriešinio eismo pirmąją juostą), kai jūsų judėjimo kryptimi yra viena, o priešpriešinio eismo kryptimi – dvi eismo juostos?",Taip.,Ne.,,,2,1,"Kadangi kelias jūsų judėjimo kryptimi turi vieną eismo juostą, o priešpriešinio eismo kryptimi – dvi (iš viso kelias turi 3 eismo juostas), pėsčiąjį privalote praleisti tik tada, kai jis įžengia į jūsų važiavimo krypties eismo juostą. Jei pėsčiasis dar yra priešpriešinio eismo juostose (kurios yra dvi), sustoti ir jo praleisti pagal šį punktą neprivalote, nes reikalavimas praleisti pėsčiąjį visame perėjos plotyje galioja tik tada, kai kelias turi po vieną juostą kiekviena kryptimi.
Vairuotojas privalo praleisti pėsčiąjį, kuris yra bet kurioje jo važiavimo krypties eismo juostoje, kai viena kryptimi yra po vieną eismo juostą.",196.jpg
197,"Jūs ir sunkvežimis iš kitos pusės norite sukti į kairę, bet jūsų matomumui trukdo sunkvežimis. Ką darysite?","Važiuosite, nes turite pirmumą.","Važiuosite, tik įsitikinęs, kad yra saugu.","Važiuosite, nes jums dega žalias šviesoforo signalas.",,2,2,"Žalias šviesoforo signalas leidžia važiuoti, tačiau sukant į kairę vairuotojas vis tiek turi praleisti priešpriešais atvažiuojančias transporto priemones, kurios važiuoja tiesiai arba suka į dešinę.
Šioje situacijoje matomumą gali užstoti sunkvežimis, todėl vairuotojas neturėtų skubėti. Saugiausia yra palaukti, praleisti sunkvežimį ir tik tada, kai aiškiai matosi, kad iš priekio niekas neatvažiuoja, baigti posūkį į kairę.",197.jpg
198,Šioje situacijoje pirmumo teisę turi:,"Balto automobilio vairuotojas, važiuojantis tiesiai.","Mėlyno automobilio vairuotojas, rikiuodamasis į gretimą eismo juostą.",,,1,1,"KET 104 p. Persirikiuodamas vairuotojas privalo duoti kelią transporto priemonėms, važiuojančioms gretima eismo juosta ta pačia kryptimi. Jeigu ta pačia kryptimi važiuojančios transporto priemonės persirikiuoja kartu, vairuotojas privalo duoti kelią dešinėje esančiai transporto priemonei, išskyrus Taisyklių 112 punkte nurodytus atvejus.
KET 112. Jeigu yra greitėjimo juosta, skirta įvažiuoti į kelią, vairuotojas privalo važiuoti ja ir įsilieti į transporto srautą (persirikiuoti į gretimą eismo juostą), duodamas kelią juo važiuojančioms arba į lėtėjimo juostą persirikiuojančioms transporto priemonėms.",198.jpg
199,"Vanduo, patekęs ant stabdžių trinkelių, pablogina stabdžių veikimo efektyvumą. Kaip pasielgsite?",Daug kartų stabdysiu stovėdamas (-a) vietoje.,"Nekreipsiu į tai dėmesio, nes jos išdžius per keletą minučių.","Keletą kartų nestipriai stabdysiu, važiuodamas (-a) nedideliu greičiu.",,3,1,"Pervažiavus gilų vandens telkinį, kurį laiką reikėtų važiuoti mažu greičiu, kelis kartus nuspausti stabdžių paminą, tuo nudžiovinant stabdžių diskus ar būgnus bei trinkeles ar kaladėles. Jos nudžiūva dėl pakilusios temperatūros, trinantis stabdžių trinkelėms į stabdžių diskus arba stabdžių kaladėlėms į stabdžių būgnus.",199.jpg
